text,keyword
"그 아이는 허공을 응시하고 있었다. 이윽고 차들이 
          멈추어 섰다. 광장 모퉁이에 네거리가 있고 건널목이 
          있었다. 그 아이가 그 건널목 쪽으로 돌아섰다. 
          그쪽에 건널목이 있다는 것을 어떻게 알았을까. 
          그쪽에서 맹인용 신호소리가 아스라하게 들려온 
          것일까. 그 아이의 걸음걸이는 빨랐다. 건널목 앞에 
          이르렀을 때는 이미 건너감 신호가 끝났다. 차들이 
          우루루루 몰려가고들 있었다. 그 아이는 건널목 
          앞에서 발을 멈추었다.",긴장
"영안실 안에는 별로 밝지 않은 형광등 불빛이 
          술렁거리고 있었다. 네 구석에 화투판과 술판이 
          벌어져 있었다. 영정 앞에 향불이 실오라기 같은 
          연기를 피워올리고 있었고, 촛불이 일렁거렸다. 그 
          촛불 밑에 돗자리가 깔려 있었다. 돗자리의 한쪽 
          가장자리에 제주댁이 성근이를 안은 채 앉아 있었다. 
          제주댁의 턱이 성근이의 한쪽 어깨를 누르고 있었다. 
          성근이는 멀뚱한 눈으로 앞을 내다보고 있었다. 
          순녀는 순녀는 한 조문객과 이야기를 나누고 있었다. 
          그는 사공평이었다. 안동댁이 안주와 맥주 캔과 
          음료수 캔들을 손님들에게 날라다주곤 했다.",아련
"며칠 전에 그니는 그 달의 경이 끝났었다. 지리한 
          장마같이 그것은 끈질기게 이어졌다. 꼬박 이레 
          동안이었다. 양도 많았다. 그것의 뒤처리를 하곤 
          하면서 그니는 늘 관세음보살님한테 빌었다. '제 
          몸에서 제발 이것을 거두어가 주십시오. 이후로는 이 
          고문 같은 것이 나타나지 않도록 제 내부를 개조해 
          주십시오. 관세음보살님, 이 달보기를 거두어가 
          주십시오.' 이상스럽게도 그렇듯 간절하게 빌고 난 
          뒤에는 그 양이 더 많고 색깔도 진한 듯싶었다. 
          그것을 처리하면서 그니는 설레는 가슴을 어떻게 
          주체하지를 못했다.",신비
"강수남은 녹차를 마시고 땡초는 커피를 마셨다. 
          갈증이 나 있었다. 강수남은 들여온 차를 단숨에 다 
          마셔버렸다. 뜨거운 물을 가져다가 달라고 해서 
          녹차잔에 부어 우려가지고 또 마셨다. 땡초는 참새 
          물을 마시듯이 했다. 머금은 커피를 오랫동안 
          음미하곤 했다. 그니는 땡초에게서 벗어나 혼자가 
          되고 싶었다. 사람들이 싫었다. 눈을 내리깔았다. 
          달팽이처럼 그니는 자기의 폐각 속에 몸을 숨기고 
          뚜껑을 굳게 닫으려 하고 있었다.",우울
" 그니는 일어서고 싶었다. 어디로든지 가서 먼저 빈 
          속을 채우고 싶었다. 자기는 육신을 위해서 살고 
          있다고 그니는 생각했다. 반발하듯이 달마의 얼굴에는 
          왜 수염이 없느냐고 스스로에게 물었다. 왜 너는 
          수염에만 매달리느냐. 손가락이면 어떻고 수염이면 
          어떠한가. 남근이면 어떤가. 그것을 통해 우주를 
          인식해야 한다. 만법이 그 수염 하나로 귀착되고, 
          수염 하나가 만법으로 확산된다. 말장난하지 말라. 
          그니는 몸을 일으켰다.",흥함
"다른 왕국들보다 훨씬 발달한 기술과 마법을 바탕으로 최 강대국으로 성장한 제국
 의 수도는 언제 일어날지 모르는 반란이나 폭동에 대비한 공중 부유정들이 가득 날
 아다니고 있었고 다른 왕국에선 볼수가 없는 초 고층의 건물들로 매워져 있었다.
 특히 눈에 띄는건 황제의 궁. 수십개의 탑으로 이루어진 그 거대한 규모는 멀리서
 보아도 질릴 정도였다.",활기
"그녀의 눈이 차갑게 빛나자, 애꾸눈 일행은 놀라움을 감출수 없었다. 보통의 여자
 에게서 나오는 반응이 아니어서였다. 그녀는 조용히 애꾸눈을 향해 손가락을 까딱
 였다. 분명한 도발 행위였다. 화가 머리 끝까지 난 애꾸눈은 탁자에 기대에 놓은
 자신의 대검을 뽑아들며 그녀에게 달려들 자세를 취하였다. 그때, 누군가가 그의
 옷자락을 잡아 당겼다. 애꾸눈은 뒤를 돌아보고 자신의 옷자락을 잡은 사나이에게
 소리쳤다.
 ""이자식! 날 방해할 작정이냐!!!""
 애꾸눈의 눈에는 이미 보이는것이 없었다. 그의 옷자락을 잡아당긴 붉은 장발의 사
 나이는 싸울 의사가 없다는듯 손바닥을 펴 보이고 실실 웃으며 애꾸눈의 어깨에 팔
 을 올려놓았다.",유머
"""그 사자는 무엇인가를 애타게 찾고있었단다. 그때 검은 그림자가 그 사자에게
 다가와서 자신이 도와주겠다며 팔을 벌렸지, 그러나 사자는 보지도 않고서 다시 무
 엇인가를 찾기 시작했다. 그러다가 흰색의 옷을입은 사람이 사자를 도와주겠다고
 말했으나 사자는 역시 보지도 않고서 자신의 일을 계속 해나갔다.""
 노인은 기침을 두어번 한후에 다시 말을 이었다.
 ""그러다가 에메랄드빛의 작은새가 사자에게 다가왔지. 그 사자는 귀찮은듯 새를 쫏
 으려 했으나 새는 상관하지 않고서 사자의 갈기에 내려앉아 노래를 부르기 시작했
 다. 사자는 처음엔 시끄럽다는듯 머리를 뒤흔들었으나 점점 새의 노래소리에 반하
 기 시작했지. 결국에 사자는 그 새를 보호하기 시작했다. 그때 사자를 도와주려고
 했던 검은 그림자는 결국 자신의 사악함을 드러내면서 새를 잡아가려고 했지. 사
 자는 혼신의 힘을 다해서 새를 보호했지만 새는 결국 수정으로 변하고 말았단다.""
 컬트는 못마땅한 표정을 지으며 스승에게 말했다.
 ""아니, 그 꿈 예기가 저희들하고 무슨 상관입니까.""
 노인은 눈을 부릅뜨면서 컬트를 바라보았다. 컬트는 움찔 하면서 스승의 눈치를 살
 피기 시작했다.
 ""그 사자가 이 마을로 오고있다.""",신비
"아침을 알리는 닭의 울음 소리가 멀리서 들려왔다. 아직은 하늘엔 어둠이 체
 가시지 않았지만 물 시계는 지금이 아침이라는것을 알려주고 있었다.
 한 거구의 사나이가 침대에서 몸을 꿈틀 거렸다. 어제저녁 친구들과 과음을
 한것 때문인지 옷을 갈아입지 않은 그대로 잠을 자고 있었다.
 잠시후, 그의 방문을 두드리는 소리가 났다.
 ""아버지, 일어나셔서 진지 잡수셔야죠.""
 여자의 음성이 그 거구의 귀를 간지럽혔다. 그는 싫은 표정과 좋은 표정의
 중간과도 같은 인상을 쓰며 자리에서 일어났다.
 ""아버지 안 일어나실 거에요?""
 그는 머리를 긁으며 대답했다.
 ""아니다! 레나야, 곧 나가마!""
 그가 옷을 갈아입고 부엌에 나가자, 한 남자 아이와 젊은 처녀가 그에게 인사를
 ""안녕히 주무셨어요, 아버지?""
 그는 미소를 지으며 말했다. 아버지의 미소였다.",일상
"마차의 오른쪽 허공에 둥근 칼날 같은 원이 그려지고, 그 원을 따라 핏물이 튀었다.
마차를 향해 뛰었던 여섯 흑도수 중 우측의 둘이 길바닥에 떨어져 뒹굴었다.
어자석의 통비원을 보호하고 있던 귀도가 마차의 귀퉁이를 잡고 옆으로 몸을 붙이며 칼을 휘두른 것이다.
그러나 살아 남은 우측의 하나는 마차의 귀퉁이를 잡고 매달려 있었다.
츄욱--!
두 자루 장창 이 파공음을 일으키며 귀도를 향해 찔러 왔다.
귀도는 왼손으로 마차의 귀퉁이를 잡고 발끝을 마차 아랫부분의 모서리에 겨우 걸친 채 오른손의 칼을 휘둘러야 
했다.",긴장
